t,balanced_sigma,growth_rate,M_norm,parent_M_norm
150,0.22,0.0003,0.47442165669151015,7.73692740706347
151,0.22,0.0003,0.49305154380403576,7.73692740706347
152,0.22,0.0003,0.5273810435474291,7.73692740706347
153,0.22,0.0003,0.5600950826594262,7.73692740706347
154,0.22,0.0003,0.5770768141533127,7.73692740706347
155,0.22,0.0003,0.5085034193211452,7.73692740706347
156,0.22,0.0003,0.4593166280371621,7.73692740706347
157,0.22,0.0003,0.47415357433222216,7.73692740706347
158,0.22,0.0003,0.41340325553595225,7.73692740706347
159,0.22,0.0003,0.39062710207023144,7.73692740706347
160,0.22,0.0003,0.3133660221747594,7.73692740706347
161,0.22,0.0003,0.36718945991114676,7.73692740706347
162,0.22,0.0003,0.37218506787865274,7.73692740706347
163,0.22,0.0003,0.3453959713730227,7.73692740706347
164,0.22,0.0003,0.2594445920636181,7.73692740706347
165,0.22,0.0003,0.29730847008130923,7.73692740706347
166,0.22,0.0003,0.30058401984244476,7.73692740706347
167,0.22,0.0003,0.30510557691291973,7.73692740706347
168,0.22,0.0003,0.3175700399760532,7.73692740706347
169,0.22,0.0003,0.2982659814885885,7.73692740706347
170,0.22,0.0003,0.27895712528656447,7.73692740706347
171,0.22,0.0003,0.2208180050418301,7.73692740706347
172,0.22,0.0003,0.11533094403967542,7.73692740706347
173,0.22,0.0003,0.07811199159275208,7.73692740706347
174,0.22,0.0003,0.0953098919308085,7.73692740706347
175,0.22,0.0003,0.1887738991910379,7.73692740706347
176,0.22,0.0003,0.18478306499665217,7.73692740706347
177,0.22,0.0003,0.1890541893287744,7.73692740706347
178,0.22,0.0003,0.22448062274660158,7.73692740706347
179,0.22,0.0003,0.308084896495436,7.73692740706347
